5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
3,2,9,2,2,1,2,1,1,1,1,1,1,1,2,2,1,5,4,4,1,1,1,1,3
3,1,1,1,3,1,3,1,5,6,1,4,6,1,1,1,1,3,1,1,1,4,6,1,3
3,1,1,1,3,1,3,1,8,7,1,1,8,4,4,6,1,3,1,2,1,1,3,1,3
3,1,1,1,3,1,3,1,1,1,5,6,1,1,1,3,1,3,1,5,4,4,2,1,3
3,1,1,1,3,1,3,1,4,2,7,8,4,4,1,3,1,3,1,3,1,1,3,1,3
3,2,1,2,3,1,3,1,1,3,1,1,1,1,1,1,1,1,1,3,1,5,7,1,3
3,3,1,1,1,1,3,1,5,7,1,5,4,4,4,2,4,4,2,7,1,8,7,1,3
3,2,1,4,4,4,7,1,3,1,1,3,1,1,1,3,1,1,3,1,1,1,1,1,3
3,2,1,1,1,1,1,1,3,1,5,7,1,2,5,7,1,4,2,1,4,4,4,2,3
3,2,4,4,4,1,3,1,3,1,3,1,1,1,2,1,1,1,3,1,1,1,1,1,3
3,2,1,1,1,1,3,1,3,1,3,1,3,1,3,1,2,1,8,4,4,2,2,1,3
3,2,4,4,4,4,2,4,7,1,3,1,3,1,3,1,3,1,1,1,1,5,6,1,3
3,1,1,1,1,1,1,2,1,1,3,1,3,1,3,1,3,1,5,4,4,7,3,1,3
3,5,4,4,4,6,1,5,4,4,7,1,3,1,3,1,3,1,3,1,1,1,3,1,3
3,3,1,1,1,3,1,8,4,1,1,1,3,1,3,1,3,1,8,4,6,1,3,1,3
3,8,4,6,1,3,1,1,1,1,5,4,7,1,3,1,2,1,1,2,7,1,3,1,3
3,1,5,7,1,3,1,4,4,4,2,1,1,1,2,1,1,2,1,1,1,1,1,1,3
3,1,3,1,1,1,1,1,1,1,3,1,3,1,1,2,1,1,4,4,4,4,4,2,3
3,1,8,4,4,4,4,6,2,1,3,1,8,6,1,1,3,1,1,1,1,1,1,1,3
3,1,1,1,1,1,2,8,6,1,1,1,1,8,6,1,8,4,4,4,4,4,6,1,3
3,2,1,5,2,1,1,1,3,1,5,6,1,1,3,1,1,1,1,1,1,1,3,1,3
3,2,1,8,4,4,4,4,7,1,8,4,4,1,8,4,4,4,4,4,4,4,7,1,3
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7
